"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Floriz 1000 mcg",27681,,60,
"Fiberlax Ultra (3.5 gm+135 mg)/sachet",21161,,1,
Fevnil,29659,,0,
"Ferodin 500 mg",29725,,0,
"JeeBee 60 mg",29869,,48,
"Jarira 250 mg",29125,,0,
"Ispahusk (3.5 gm+7.5 mg)/5.38 gm",29906,,0,
"Isabgul Plus 4gm Sachet",29376,,7,
"Isabgul Plus 4gm Sachet",29376,,18,
"Iripum 500 mg",31657,,0,
"Intellon 120 mg",30328,,0,
Insperm,29671,,0,
"Inovit E 400 mg",13970,,0,
"Inovit E 200 mg",13969,,0,
"Improliv 140 mg",29595,,0,
"Immuna 450 mg",31554,,0,
Icturn,29670,,0,
Honeybas,29732,,6,
"HollySeed 500 mg",29108,,20,
Hermin,29669,,0,
"Hepatolin 200ml",29731,,4,
"Hepanor 70 mg",31125,,28,
"Hepanor 140 mg",29858,,40,
"Hepamilk 70 mg",28268,,0,
"Hepamilk 140 mg",16676,,0,
"Hepamarin 140 mg",32094,,0,
Hepalgin,29668,,0,
Hemorist,29730,,0,
"Helax 130.43 mg+86.96 mg+18.12mg",29667,,0,
"Hantar 1.66 gm+1.66 gm+1.66 gm",29666,,0,
"Hanrhoid-B 100 mg+33.33 mg+16.67 mg",29665,,0,
"Hanrhoid 125 mg+125 mg",29664,,0,
"Hanpy 64.28 mg+42.86 mg+21.43 mg",29663,,0,
"Luzent 20 mg+5 mg",27684,,0,
Luvena,31091,,40,
"Lubub Kabir",29678,,0,
"Livolite 200 mg",27668,,0,
"Livec 70 mg",16680,,0,
"Livasil 140 mg",27624,,0,
"Livasil 70 mg",27623,,0,
"Liqumint 187 mg/0.2 ml",1427,,0,
"Liqu-E 200 mg",13971,,0,
"Lina 500 mg",29637,,0,
"Lina 250 mg",29636,,0,
"Lifil-E 400 mg",13988,,0,
"Lifil-E 200 mg",13987,,0,
Libidex,29677,,0,
Lecosav,29734,,0,
"Lecor 200ml",27667,,1,
"Laxadil-Senna (3.5 gm+7.5 mg)/5.38 gm",32846,,0,
"Ladica 40 mg",29635,,0,
"Lactohil 100 gm/container",30311,,2,
"Lactoflora 2 billion",33154,,0,
Kulzam,29676,,0,
Kofsol,28008,,0,
"Kobi 40 mg",29634,,0,
"Kobi 60 mg",29633,,0,
Kidcare,29733,,0,
"Joshina 6 gm/sachet",29675,,0,
"Jorvan 500 mg",27666,,0,
"Jonort 300 mg",29632,,0,
Jinsant,29674,,0,
"Nilagel 500 mg",27670,,30,
"Neuriva 60 mg",29353,,0,
Nervolin,29740,,0,
Nervent,29684,,0,
"Navit 500 mg",27653,,2,
"Naunehal 100ml",29683,,14,
"Nature-E 400 IU",25414,,34,
"Nature-E 200 IU",25413,,0,
"Natlina 500 mg",31017,,48,
"Natlax (3.5 gm+7.5 mg)/5.38 gm",27613,,2,
"Monera 100ml",27669,,5,
"Mintol 187 mg/0.2 ml",32720,,0,
"Mintek 187 mg/0.2 ml",32719,,0,
"Mevelum (3.5 gm+135 mg)/sachet",21163,,0,
"Methicap 140 mg",32189,,0,
"Mestiza 40 mg",27649,,0,
Menotox,29738,,0,
"Memopil 100ml",28881,,9,
"Menoherb 40 mg",33118,,0,
"Menofemin 40 mg",27685,,0,
"Menocare 40 mg",29737,,0,
"Melbit 400 mg",31394,,0,
"Megajoy 5.4 mg",29736,,0,
"Mebo 0.25% w/w",30422,,0,
"Maxton 500 mg",32187,,0,
Masturin,29682,,0,
"Mariment 0.04 gm/gm",29735,,0,
"Marbelus (1 gm+0.5 gm)/5 ml",29681,,0,
"Majoon Mugalliz",29680,,0,
"Premelos 60 mg",27650,,0,
"Pirulin 500 mg (30)pc",27692,,1,
"Pirugold 500 mg",29594,,0,
"Perkup 300 mg",29743,,0,
Pepnor,27672,,4,
Peniton,29688,,4,
"Peblew 15.63 mg+78.12 mg",29687,,0,
"Pavitex 500 mg",28880,,0,
"Papaya 250 mg",29116,,0,
"Panaseng 100 mg (30)Pc",27686,,0,
"Panaking 100 mg",29593,,0,
"Paltex 160 mg",32190,,0,
"Palmet 160 mg",29640,,0,
"Painthol (25.40 mg+14.30 mg+4.20 mg+0.05 mg)/gm",28879,,0,
"Oxi-Q 60 mg",17218,,0,
"Oxi-Q 30 mg",17217,,0,
"Ovit-E 400 IU",13974,,0,
"Ovit-E 200 IU",13973,,0,
"Ostylon 400 mg",29892,,0,
"Ocubil 160 mg",27671,,30,
"Ocuberry 160 mg",33119,,0,
"Nutrilina 500 mg",29866,,120,
"Novotin 2500 mcg",32164,,1,
"Novotin 5000 mcg",30122,,2,
"Novotin 1000 mcg",30121,,1,
Normatensin,29686,,0,
Nishat,29685,,0,
"Nimulant 450 mg",29639,,0,
"Nim-A 500 mg",29742,,0,
Revatol,27676,,0,
Reumacare,29745,,0,
"ResQ 60 mg",14759,,0,
"ResQ 200 soft gel",14758,,20,
"Remocof 100ml",27657,,12,
"Reli Balm 80 mg+45 mg+180 mg+10 mg",27675,,0,
"Redid 300.46 mg+50.07 mg",29690,,0,
"Redclov 40 mg",27674,,0,
"Recoseng 500 mg",27656,,0,
"Rebio 4 billion",31656,,10,
"Radisil 140 mg",27690,,49,
Qarhin,29697,,0,
"Q10 60 mg",14752,,0,
"Q10 30 mg",14751,,0,
"Pycnogenol 50 mg",27688,,20,
"Protinavit 500 mg",27654,,0,
"Prostaid 500 mg",30882,,0,
"Prostacare 500 mg",29744,,0,
"Promef 294.12 mg+58.82 mg+147.06 mg",29689,,0,
"Prolacto 4 billion",29823,,32,
"Procold 500 mg",27652,,0,
"Probio 4 billion/sachet",29613,,53,
"Probio 4 billion",27673,,110,
"Primrole 1000mg (30)Pc",31920,,1,
"Primrole 500mg (30)Pc",31919,,1,
"PrimaVera 500 mg",31140,,30,
"PrimaVera 1000 mg",29865,,30,
"Primacap 500 mg",31139,,140,
"Primacap 1000 mg",29789,,146,
"Turmeric 1000 mg",33106,,0,
Trigone,29702,,0,
"Trifala Churna 1 mg+1 mg+1 mg",29706,,0,
"Torel (25.40 mg+14.30 mg+4.20 mg+0.05 mg)/gm",16540,,5,
Tonalax,29701,,0,
"Toco Soft 50 mg + 13.5 mg",30424,,40,
"Tartflex 500 mg",30442,,0,
"Sylhep 140 mg",29354,,0,
Suzarn,29700,,0,
Surobin,29699,,0,
"Sufoof Suparipak",29698,,0,
Sualin,29696,,0,
"Stimugin 500 mg",29891,,0,
"Spirucap 500 mg",28686,,0,
"Spermatin 12.5 mg",29695,,0,
"Silycap 140 mg",31127,,60,
"Silycap 70 mg",31126,,0,
"Silybin 140 mg",16682,,60,
"Silybin 70 mg",16681,,0,
"Selvin 71.43 mg+71.43 mg",29694,,0,
Santonic,29747,,0,
Safkin,29746,,0,
Safi,29692,,0,
Safi,29692,,0,
Saduri,30449,,0,
"Rostil Plus (3.5 gm+135 mg)/sachet",28783,,49,
"Rosnum 125 mg+62.5 mg+62.5 mg",29691,,0,
"Rose 500 mg",12764,,0,
Zerova,30206,,0,
ZeroCof,32034,,0,
"Yorex 5.4 mg",31658,,0,
"Yohim 5.4 mg",27691,,46,
Womenton,29751,,0,
"Vital Protein 500 mg",29352,,0,
"Vita-E 200 mg",27494,,0,
"Visibil 160 mg",29870,,0,
"Vigo-Fort 250 mg",29750,,0,
"Vegecap-E 400 IU",13996,,0,
"Vegecap-E 200 IU",13995,,0,
"Vanila E 200 mg",30038,,0,
"Valent 450 mg",29641,,0,
"Uripam 160 mg",27678,,30,
Uricool,29749,,0,
"Urican 400 mg",33129,,0,
"Ulpep 500 mg",27677,,0,
"UbiCare 100 mg",29554,,70,
"UbiCare 60 mg",28472,,20,
"Ubi-Q 200 mg",32128,,30,
"Ubi-Q 100 mg",14757,,20,
"Adlock 10 mg",2462,,120,
"Adlock 40 mg",2463,,0,
"Adlinameg 2.5 mg+500 mg",17213,,10,
"Adlinameg 2.5 mg+850 mg",17214,,0,
"Adlina 5 mg",5481,,20,
"Adiz 500 mg",8542,,0,
"Adiz 200 mg/5 ml",8543,,0,
"Adiz 250 mg",25615,,0,
"Adiva 600 mg",9724,,0,
"Adora Suspension 60ml",5162,,1,
Aduvit,13736,,0,
Aduvit,13736,,0,
"Adtrizin 10 mg",19175,,0,
"ADS-10 0.225%+10%",376,,0,
"Adrox 125 mg/5 ml",7161,,0,
"Aerophin Nebuliser Solution",244,,30,
"Adrin 1 mg/ml",243,,0,
"Adribin 2 mg/ml",28654,,0,
"Adrenaline 1 mg/ml",17449,,0,
"Adrebloc 100 mg/10 ml",29597,,0,
"Adorex 5 mg/5 ml",1502,,0,
"Adorex 5 mg/ml",28019,,0,
"Adorex 10 mg",1503,,0,
"Advixa 40mg (0.8 ml)",6741,,0,
"Adrinor 1mg/ml",6743,,3,
"Adaben Duo gel",6742,,0,
"Adonid DS 100 mg/5 ml",22883,,0,
"Adonid 500 mg",2325,,0,
"Adocil 125 mg/5 ml",6740,,0,
"Adocil 500 mg",6739,,0,
"Adnor 3 mg",27174,,0,
"Adnix 100 mg/5 ml",2287,,0,
"Adnix 500 mg",2286,,0,
"Admox DS 500 mg",27318,,0,
"Admox 125 mg/5 ml",19612,,0,
"Admira MR 30 mg",5215,,0,
"Admira 80 mg",5214,,0,
"Adlorin 5 mg",12227,,0,
"Adipal Plus 0.1%+2.5%",30526,,0,
"Afix 400 mg",7464,,56,
"Afix 100 mg/50 ml",7465,,0,
"Afix 400 mg",7464,,56,
"Afinitor 10 mg",26672,,0,
"Afinitor 5 mg",26673,,0,
"Affrox 30 mg",32474,,0,
"Afexa 180 mg",29423,,0,
"Afexa 120 mg",29422,,30,
"Afexa 30 mg/5 ml",29424,,0,
"Afatin 40 mg",31295,,0,
"Aerovil 15 mg/5 ml",28863,,0,
"Aerophin 11.25 mg/0.5 ml",30123,,0,
"Aeropac 67 mg/ml",1297,,0,
"Aeronid 200 mcg/puff",3875,,0,
"Aeron FT 4 mg",3759,,90,
"Aeron FT 5 mg",3760,,82,
"Aeron 10 mg",3761,,37,
"Aerofen 1 mg",3709,,0,
"Aerofen 1 mg/5 ml",3710,,0,
"Aerodyl 10 mg",3605,,0,
"Aerodyl 20 mg",3606,,0,
"Aerodyl 5 mg/5 ml",3607,,0,
"Adze 400 mg",248,,0,
"Afalino 12.5 Tablet",17307,,30,
"Advel 400 mg",11262,,0,
"Advel 200 mg",11261,,0,
"Advast 5 mg+10 mg",30595,,0,
"Advel 100 mg/5 ml",11263,,0,
"Agrippal S1 0.5 ml/prefilled syringe",16550,,0,
"Agoxin 0.25 mg",2453,,270,
"Agotin 25 mg",413,,0,
"Agorest 25 mg",31997,,75,
"Aglip 12.5 mg",30988,,0,
"Aglip 25 mg",30989,,0,
"Aggreno 25 mg+200 mg",17938,,0,
"Aggra 50 mg",5998,,0,
"Aggra 100 mg",5999,,0,
"Agedefy 6 mg+200 mg+50 mg",14008,,0,
"Age Plus",14721,,0,
"Age M 6 mg+200 mg+50 mg",14009,,0,
"Afuvin 500 mg",28011,,0,
"Afun VT 200 mg",12408,,0,
"Afun 0.01",12381,,3,
"Afrin paediatric  0.025%",16266,,6,
"Afrin 0.05% 10 ml drop",16267,,9,
"Afrin 0.01",32797,,0,
"AFM-T 0.1%+0.025%",15889,,0,
"AFM-Plus 0.1%+0.3%",15885,,1,
"AFM-Plus 0.1%+0.3%",15885,,0,
"AFM ophthalmic 5ml",15872,,5,
"Afluzol 50 mg",28039,,0,
"Afluzol 150 mg",28038,,0,
"Afluzol 50 mg/5 ml",28035,,0,
"Afixime 25 mg/ml",29363,,0,
"Afixime 200 mg",7467,,0,
"Afixime 400 mg",7468,,0,
"Afixime 100 mg/5 ml",7469,,0,
"Afix DS 200 mg/5 ml",7466,,0,
"Adinir 300 mg",28233,,0,
"Aladay 0.001",15974,,0,
"Alacot Max 0.007",27495,,1,
"Alacot DS 0.002",15973,,3,
"Alacot 0.01",15972,,8,
"Alaclov 500 mg",9715,,0,
"AL-DS 400 mg",250,,0,
"Aktivex 500 mg",22755,,0,
"Aktivex 250 mg",27698,,0,
"Ajuben 6 Tablet",21153,,10,
"Akicin 500 mg/2 ml",574,,0,
"Akicin 100 mg/2 ml",31608,,0,
"Afalino 50 Tablet",28327,,0,
"Ajardy M 5 mg+500 mg",30906,,54,
"Ajardy 10 mg",30904,,30,
"Ajardy 25 mg",30905,,0,
"Airway 10 mg",22628,,0,
"Airway 4 mg",27988,,0,
"Airway 5 mg",22627,,0,
"Airup 5 mg",26990,,0,
"Airup 10 mg",3804,,30,
"Airpro 1 mg/5 ml",30889,,0,
"Airnaaf 1 mg/5 ml",21316,,0,
"Airflow 10 mg",32793,,0,
"Aire 2 mg",27759,,0,
"Aire 1 mg",27758,,0,
"Aid TR 100 mg",27400,,0,
"Aid SR 100 mg",27433,,0,
"Aid 50 mg",27401,,0,
"AH 200 mg/5 ml",25461,,3,
"AH 400 mg",25460,,27,
"Adinir 125 mg/5 ml",28234,,0,
"Alba 400 mg",252,,0,
"Alaxen 0.25 mg",17498,,0,
"Alaxen 0.5 mg",17499,,0,
"Alatrol 60ml",11915,,0,
"Alatrol   15 ml Drop",19173,,8,
"Alatrol 10 mg",11914,"Qty: 642 Pc / Qty: 642 Pc",217,
"Alatin 10 mg",11913,,0,
"Alater 10 mg",12014,,0,
"Alat 10 mg",12008,,60,
"Alarup 10 mg",12905,,0,
"Alartn 5 mg/5 ml",19129,,0,
"Alaron 10 mg",12185,,0,
"Alaron 5 mg/5 ml",32197,,0,
"Alarid 0.0003",15944,,2,
"Alarid 100ml",3712,,5,
"Alarid 1 mg",3711,,16,
"Alargol 5 mg/5 ml",19143,,0,
"Alargol 10 mg",19144,,0,
"Alanil 50ml",12064,,4,
"Alanil 180 mg",12063,,30,
"Alanil 120 mg",12062,,53,
"Alagra 60 mg",27838,,0,
"Alagra 30 mg/5 ml",12061,,0,
"Alagra 180 mg",12060,,0,
"Alagra 120 mg",12059,,0,
"Alagra 30 mg",12057,,0,
"Alafree 120 mg",12055,,0,
"Alafree 30 mg/5 ml",20332,,0,
"Aladay Max 0.007",29404,,0,
"Aladay DS 0.002",15975,,0,
"Adifex 120 mg",20395,,0,
"Alchek DS 0.002",22988,,0,
"Alchek 0.001",15976,,0,
"Alcet 2.5 mg/5 ml",12156,,4,
"Alcet 5 mg",12155,,180,
"Alcefen 100 mg",17366,,0,
"Alcavir 0.5 mg",27197,,0,
"Alcafta 0.0025",348,,0,
"Alcaft 0.0025",32643,,0,
"Alcadin 0.0025",347,,0,
"Albutein 0.25",16528,,0,
"Albutein 0.05",14907,,0,
"Albutein 0.05",14907,,0,
"Albumin Human 0.2",416,,0,
"Albrex 400 mg",268,,0,
"Albol-DS 400 mg",25465,,0,
"Albezole 400 mg",10347,,0,
"Albezen 400 mg",263,,0,
"Albentas 400 mg",25491,,0,
"Albendox 400 mg",262,,0,
"Albendol 10ml",261,,0,
"Albendol 400 mg",260,,0,
"Albenda DS 400 mg",257,,0,
"Alben DS 400 mg",256,,1,
"Alben 10ml Sus",255,,0,
"Albazol DS 400 mg",254,,0,
Albatab,13874,,0,
"Albasine 30 mg+10 mg",71674515,,148,
Albaplex,13873,,0,
"Albamax DS 400 mg",253,,0,
"Albafen 10 mg",18066,,0,
"Adglim 2 mg",5276,,0,
"Alenvir 25 mg",29031,,0,
"Alendon 10 mg",30518,,0,
"Alendon 70 mg",30519,,0,
"Alecensa 150 mg",27606,,0,
"Ale DS 400 mg",25455,,0,
"Aldorin 50 mg",5725,,20,
"Aldopa 100 mg+10 mg",21489,,0,
"Aldopa 250 mg+25 mg",21490,,0,
"Aldonist 25 mg",2854,,30,
"Aldonist 50 mg",2855,,0,
"Aldocort 0.10 mg",26052,,0,
"Aldin DS 400 mg",278,,0,
"Aldex-DS 400 mg",32935,,0,
"Aldex 200 mg/5 ml",32936,,0,
"Aldew 400 mg",275,,0,
"Aldes DS 400 mg",274,,0,
"Aldes 200 mg/5 ml",273,,0,
"Aldaben-DS 400 mg",272,,0,
"Aldaben 200 mg/5 ml",271,,0,
"Alda DS 400 mg",270,,0,
"Alda 200 mg/5 ml",269,,0,
"Alcot (200 mg+40 mg)/5 ml",8987,,0,
"Alcot 400 mg+80 mg",8985,,0,
"Alcot 800 mg+160 mg",29873,,0,
Alconil,20142,,0,
"Alcofen SR 100 mg",10937,,0,
"Alcofen 50 mg",10936,,0,
"Alclor 500 mg",7100,,0,
"Alclor 125 mg/5 ml",7101,,0,
"Alclor 125 mg/1.25 ml",7102,,0,
"Adglim 1 mg",5275,,0,
"Alfex 120 mg",12068,,0,
"Alfavir 25 mg",27584,,20,
"Alfasin XR 10 mg",15573,,0,
"Alfacort 40 mg/ml",3887,,4,
"Aleze 5 mg/5 ml",12189,,0,
"Aleze 10 mg",12188,,0,
"Alexid 200 mg",6681,,0,
"Alexa 8000 Anti-Xa IU/0.8 ml",19972,,0,
"Alexa 6000 Anti-Xa IU/0.6 ml",19971,,0,
"Alexa 4000 Anti-Xa IU/0.4 ml",19970,,1,
"Aletrin 10 mg",11916,,0,
"Alestor 5 mg",25930,,100,
"Alestin 10 mg",12028,,0,
"Alestin 5 mg/5 ml",12029,,0,
"Alervil 15 mg/5 ml",11900,,0,
"Alertadin 5 mg",12228,,0,
"Alert 10 mg",12187,,0,
"Alermet 10 mg",19160,,0,
"Alermet 5 mg/5 ml",19159,,0,
"Alerjess 4 mg",11799,,0,
"Alerjess 2 mg/5 ml",11800,,0,
"Alergix MR 10 mg",31137,,30,
"Alerfex 30 mg/5 ml",12067,,0,
"Alerfex 120 mg",12066,,0,
"Alerfast 120 mg",12065,,0,
"Alerfast 30 mg/5 ml",28883,,0,
"Alerest 4 mg",19294,,0,
"Alercon DS 0.002",22987,,0,
"Alercon 600 mcg/spray",16250,,0,
"Alercon 0.001",15977,,0,
"Adgar 0.003",30525,,0,
"Algirex 90 mg",11151,,0,
"Algirex 60 mg",11150,,0,
"Algin 50 mg",1430,,154,
"Algin 5 mg/2 ml",1432,,6,
"Algin 10 mg/5 ml",1431,,1,
"Algicon 500 mg+100 mg",24561,,0,
"Algicon (500 mg+100 mg)/5 ml",24560,,0,
"Algicid Plus 200ml",26556,,2,
"Algicid DX 200ml",32170,,2,
"Algicid 500 mg+100 mg",16686,,126,
"Algicar Plus (500 mg+267 mg+160 mg)/10 ml",31101,,0,
"Algex 250 mg+400 mg",453,,0,
"Algex (175 mg+225 mg)/5 ml",28131,,0,
"Algeum-DX 600 mg+400 IU",32350,,0,
"Algeum-D 500 mg+200 IU",32349,,0,
"Algerd (500 mg+100 mg)/5 ml",16685,,0,
"Algecal Dx 600 mg+400 IU",29461,,63,
"Algecal D 500 mg+200 IU",28782,,70,
"Algaba 50 mg",32333,,60,
"Algaba 150 mg",32335,,0,
"Algaba 75 mg",32334,,0,
"Alfumax ER 10 mg",427,,50,
"Alfradin DS 250 mg/5 ml",25856,,0,
"Alfradin 500 mg",25855,,0,
"Alfixim 100 mg/5 ml",17142,,0,
"Alfixim 400 mg",17141,,0,
"Alfixim 200 mg",17140,,0,
Alfil,13224,,0,
"Alfex 30 mg/5 ml",12069,,0,
"Adgar 0.001",170,,0,
Allbeevit,13737,,0,
"Alkurin (1500 mg+250 mg)/5 ml",23724,,0,
"Alkenib 250 mg",32817,,0,
"Alken (1500 mg+250 mg)/5 ml",29233,,0,
"Alkazol 200 mg/5 ml",22335,,0,
"Alkatrim (200 mg+40 mg)/5 ml",16922,,0,
"Alkaparol 120 mg/5 ml",23386,,0,
"Alkanon 500 mg",32354,,30,
"Alkanon 750 mg",32355,,48,
"Alkamin 2 mg/5 ml",19236,,0,
"Alkamax (1500 mg+250 mg)/5 ml",23722,,0,
"Alivio Extra 30%+10%+4%",32294,,0,
"Alivio 15%+10%",32293,,0,
"Alistin EF 600 mg",29462,,9,
"Alinix 500 mg",2288,,0,
"Alinix 100 mg/5 ml",2289,,0,
"Alin 150 mg",1679,,0,
"Alimta 500 mg/vial",15073,,0,
"Alimta 100 mg/vial",28995,,0,
"Alice 6 mg",28709,,5,
"Alice 12 mg",28710,,10,
"Alice Lotion 60g",26161,,5,
"Alia 5 mg",29306,,60,
"Algrofin 250 mg",29317,,0,
"Algita DX 600 mg+400 IU",30004,,10,
"Algita D 500 mg+200 IU",28633,,20,
"Algisum Max (500 mg+267 mg+160 mg)/10 ml",31531,,4,
"Algisum 200ml",1398,,3,
"Algisum 500 mg+100 mg",1397,,0,
"Adfovir 10 mg",30527,,0,
"Adflox 500 mg",19611,,0,
"Adexim 200 mg",7461,,0,
"Almitan 6.25 mg",445,,0,
"Almin 400 mg",284,,0,
"Almin 200 mg/5 ml",283,,0,
"Almigut 10 mg",32330,,0,
"Almex 200 mg/5 ml",281,,5,
"Almex 400 mg",282,,76,
"Almasil MS 400 mg+400 mg+30 mg",17550,,0,
"Almasil MS (400 mg+400 mg+30 mg)/5 ml",17560,,0,
"Allynol 5 mg",438,,90,
"Allygest 5 mg",437,,60,
"Allphen 5 mg/5 ml",4652,,0,
"Allion Gold",14085,,2,
"Allet DS 0.002",16000,,3,
"Allet 0.001",15995,,0,
"Allertin 20 mg",30398,,90,
"Allertin 60ml",31418,,2,
"Allernil 10 mg",11917,,0,
"Allernil 5 mg/5 ml",11918,,0,
"Allerkit-E 0.0003",15946,,0,
"Allerkit 1 mg/5 ml",3713,,0,
"Allergan 5 mg/5 ml",29924,,0,
"Allercet 5 mg/5 ml",12018,,0,
"Allercet 10 mg",12017,,0,
"Alleloc DS 5ml",15999,,2,
"Alleloc 0.001",15978,,0,
Allbeevit-M,14187,,0,
Allbeevit,13737,,0,
Allbeevit,13737,,0,
Allbeevit,13737,,0,
Allbeevit,13737,,0,
"Adexim 100 mg/5 ml",7462,,0,
"Alphapress 1 mg",2586,,160,
"Alphanate 250 IU/vial",982,,0,
"Alphanate 250 IU/vial",982,,0,
"Alphalok XR 2.5 mg",31617,,56,
"Alphalok XR 5 mg",31618,,14,
"Alphalok 1 mg",31400,,28,
